SITE,A0 OM 0-3,A0 OM 3-6,A0 OM 6-9,A0 OM 9-12,A0 OM 12-15,A0 Mineral,AE OM 0-3,AE OM 3-6,AE Mineral,A10 Mix 0-3,A10 Mix 3-6,A10 Mineral,A20 Mix 0-3,A20 Mineral,A30 OM 0-3,A30 Mix 3-6,A30 Mineral,B0 OM 0-3,B0 OM 3-6,B0 OM 6-9,B0 OM 9-12,B0 Mineral,BE OM 0-3,BE OM 3-6,BE OM 6-9,BE Mineral,B10 OM 0-3,B10 OM 3-6,B10 OM 6-9,B10 OM 9-12,B10 OM 12-15,B10 OM 15-18,B10 Mineral,B20 Mix 0-3,B20 Mineral,B30 Mix 0-3,B30 Mix 3-6,B30 Mineral,C0 OM 0-3,C0 OM 3-6,C0 Mineral,CE OM 0-3,CE Mineral,C10 OM 0-3,C10 Mineral,C20 OM 0-3,C20 Mineral,C30 OM 0-3,C30 Mineral,D0 OM 0-3,D0 OM 3-6,D0 OM 6-9,D0 Mineral,DE OM 0-3,DE OM 3-6,DE OM 6-9,DE Mineral,D10 Mix 0-3,D10 Mix 3-6,D10 Mix 6-9,D10 Mix 9-12,D10 Mineral,D20 Mix 0-3,D20 Mineral,D30 Mix 0-3,D30 Mineral,E0 OM 0-3,E0 OM 3-6,E0 Mix 6-9,E0 Mineral,E10 OM 0-3,E10 Mineral,E20 OM 0-3,E20 OM 3-6,E20 OM 6-9,E20 Mix 9-12,E20 Mineral,E30 OM 0-3,E30 OM 3-6,E30 OM 6-9,E30 OM 9-12,E30 Mineral,F0 OM 0-3,F0 OM 3-6,F0 Mineral,F10 OM 0-3,F10 OM 3-6,F10 OM 6-9,F10 Mineral,F20 OM 0-3,F20 OM 3-6,F20 OM 6-9,F20 Mineral,F30 OM 0-3,F30 OM 3-6,F30 OM 6-9,F30 OM 9-12,F30 Mineral,G0 OM 0-3,G0 Mix 3-6,G0 Mix 6-9,G0 Mix 9-12,G0 Mix 12-15,G0 Mineral,G10 Mix 0-3,G10 Mix 3-6,G10 Mix 6-9,G10 Mix 9-12,G10 Mineral,G20 OM 0-3,G20 Mix 3-6,G20 Mineral,G30 OM 0-3,G30 Mix 3-6,G30 OM 6-9,G30 OM 9-12,G30 Mineral,H0 OM 0-3,H0 OM 3-6,H0 Mineral,H10 OM 0-3,H10 Mineral,H20 OM 0-3,H20 Mix 3-6,H20 Mix 6-9,H20 Mix 9-12,H20 Mineral,H30 OM 0-3,H30 OM 3-6,H30 OM 6-9,H30 OM 9-12,H30 Mineral,CC1 Mix 0-3,CC1 Mix 3-6,CC1 Mineral,CC2 OM 0-3,CC2 OM-3-6,CC2 Mineral,CC3 OM 0-3,CC3 Mix 3-6,CC3 Mix 6-9,CC3 Mineral,CC4 OM 0-3,CC4 OM 3-6,CC4 Mineral,CON1 OM 0-3,CON1 OM 3-6,CON1 OM 6-9,CON1 Mineral,CON2 OM 0-3,CON2 OM 3-6,CON2 OM 6-9,CON2 Mineral,CON3 Mix 0-3,CON3 Mix 3-6,CON3 Mineral,CON4 OM 0-3,CON4 OM 3-6,CON4 OM 6-9,CON4 Mineral
Eremeaus sp. - R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eueremaeus sp.,3,2,,1,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1,,4,,1,,,,4,,1,,,,,,,,,,,,,,,2,1,,,2,,,,,,,,,,1,,2,,,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,1,,2,,,,,,,1,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,
Eupterotegeaus sp. 1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupterotegeaus sp. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehypochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Heminothrus sp.,1,1,1,1,,,2,,,,1,,2,,6,2,,,,,,,,,1,,,2,1,,,,5,8,3,,,,,,,,,1,,,2,4,,,,,,,,5,,,1,,,, ,3,,,2,,,,1,,3,1,2,,,,,,1,,,,,,1,1,,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,6,1,,1,1,1,,,3,,2,4,4,9,5,2,,,1,,3,1,9,,34,33,7,3,,,
Hermannia sp.,,,,,,,7,,,9,,,1,,1,,,,,,,,,,,,2,,,,1,1,,1,,,,,,,,,,1,,6,1,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,1,,4,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,16,1,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Hermanniella sp. 1 ,,5,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,
Hermanniella sp. 2 ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrozetes sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,8,4,,,,,,,,4,11,12,,1,4,1,,,,
Liacarus sp. - L1,,,,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Liochthonius sp.1,,,10,,,,,,,,,,,,,,,1,2,,,2,,1,1,2,1,,1,3,1,,,1,2,1,,,,,,2,22,3,1,2,4,7,,,1,,,,,,,,,,,,,,,,10,1,5,9,,3,5,3,13,10,2,3,10,3,2,,,6,,,3,,,3,2,3,1,,,2,2,1,,3,1,,,,3,5,,,,,,,,3,,,,,1,2,,,4,,,,,,,10,1,,,,,,1,,,1,1,,2,5,,2,1,,,,5,13,3,5,12,,3,,2,
Liochthonius sp.2,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,1,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,,,,,,,1,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liochthonius sp.3,,,,1,2,1,,4,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liochthonius sp.4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maerkelotrita sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaconothrus sp.,9,19,16,13,12,10,5,,,,1,,2,,,,,1,1,,1,4,3,7,8,28,9,10,1,5,2,,1,5,2,2,2,,,,,,,1,,,,,,5,,1,1,,2,1,,,,,,,,,1,,49,17,1,3,,,2,,,,3,2,3,,7,2,,7,,2,1,,1,,,2,,,1,,,,,15,,2,1,,4,2,,,,,1,,1,,,,,,2,1,,,1,2,,2,,,,7,3,12,,,,,,,,,1,,9,1,5,1,2,,,1,1,1,1,8,,,2,,,1
Nanhermannia sp. 1,,,,,1,,,,,1,1,,,,1,1,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,2,8,4,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,1,,,2,4,1,,,,,,1,,,,20,6,2,3,,,
Nanhermannia sp. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,7,,,,,
Nanhermannia immatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothrus sp. 1,,,,,,1,,,,1,2,,,,,,,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,3, ,,,,,1,,,,,,,1,,,1,,,,,,,,1,1,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,2,,,,,1,1,,2,6,,,4,,,,,,,,1,,7,7,,,,
Nothrus sp. 2,,,,,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,5,1,3,,,,,,,,6,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Nothrus sp. 3 - large/pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothrus monodactylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Oppiella nova,9,45,8,12,8,7,22,13,,2,,,4,8,,1,,2,3,2,3,1,10,14,8,7,19,10,6,3,3,3,4,1,1,3,2,1,,2,1,,,1,,24,40,,,5,7,2,1,,4,2,,2,2,,1,,,,,2,11,1,1,,1,,,,,1,1,,,1,2,,4,11,,14,17,8,,,1,1,,2,2,1,2,,,1,1,3,,,5,10,1,3,1,10,2,1,,3,1,,3,2,2,,3,,33,5,23,9,8,7,22,38,14,13,2,8,,3,2,,2,5,2,8,9,7,1,8,4,2,,14,8,7,3,2,6,,4,9,10,
Oribatula tibalis - 14b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oribotritia sp.,,,,,,,,,,,,,1,,1,,,,,,,,,2,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
Paleacarus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,
Parhypochthonius sp - BX,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,,2,,5,,,,1,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,16,,,,,
Phthiracarus sp.,1,,,,,,,,,,1,,,,,,,,,,1,,4,2,1,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,1,,,,,,,1,,,,1,,3,5,,1,1,,,,1,1,,,,,,,,,,4,1,,1,,10,3,,,,,,,,,,8,,1,4,1,2,,9,4,,,4,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,
Podacarus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poecilochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pterochthonius sp.,,,,,,1,,,,,,,,,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,2,,3,4,3,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,1,2,1,,,,,
Quadroppia sp.,,10,13,6,1,6,5,2,,2,1,,4,5,,,,,,,,,1,,,,2,5,5,,1,2,2,3,,,4,,,,,1,,1,,3,2,3,,1,9,5,1,,5,21,1,4,1,1,,,1,1,2,,11,19,,,10,1,5,1,11,,,3,1,7,2,,1,9,,8,12,,1,,1,,,7,1,1,1,,2,3,1,13,3,,7,14,4,3,,7,3,1,7,,3,,,,1,,15,,3,2,20,2,1,1,3,5,6,14,,2,,5,,,3,2,,,9,15,,3,8,2,1,3,8,14,,11,8,1,8,12,1,
Quatrobelba sp.,,5,10,4,9,9,6,,,1,,,1,,,4,,,,,,1,3,8,6,4,3,,6,1,,,,,,,,,,1,1,,,,,,,,,,2,,,,,,,,1,,,,,,,1,1,4,,7,2,,1,1,5,4,,,4,1,2,,2,,,3,2,,4,,1,,2,2,1,1,,,6,3,1,,,,1,,,,2,,,,,,,,,1,,,,,12,4,,5,,2,16,17,13,9,,,,2,1,,,,1,1,1,1,,2,5,6,1,2,2,10,3,3,7,,11,11,2,2
Ramusella sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhysotritia sp.,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,
Scheloribates sp. - 14A,,7,14,29,31,8,2,1,1,1,,,,,3,,,,,,,6,2,5,12,14,7,1,3,,,1,1,3,,2,,,,,,,,2,,,,,,,3,5,2,,,,,2,,,,,,,1,,10,10,,,,,,,,,,,,,1,2,,2,,,7,1,,1,,,,,1,,,1,,4,5,6,8,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,2,,,,,,,,,,,,,,1,,,,,,
Sellnickochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,
Suctobelbella sp.,1,2,,,3,,2,2,,,,,1,,3,2,,,2,,,1,,5,1,3,6,,1,4,,,,1,,1,,1,,,,1,,10,,,,5,,,1,1,1,,2,1,3,,,,,,,,2,,18,5,,,3,,,5,5,3,1,4,1,,,,4,3,3,8,,2,1,1,,,1,,1,,,,,,,,4,1,1,8,,,,3,,,1,1,,,,,1,,,,3,5,9,3,,,,2,1,2,6,4,,1,,,,,,,5,28,,6,5,8,2,5,,9,5,4,3,,1,,,
Synchthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tectocepheus sp. - B2,6,,,2,2,,2,,,10,,,2,,1,2,,1,1,1,,,,,,,,,,,,,,11,,1,2,1,,3,,43,5,12,,18,7,119,,,,,,10,3,4,,,,,,,1,,29,1,3,6,6,1,18,1,2,7,6,,,20,2,1,3,1,19,4,1,1,4,6,1,6,3,1,,7,1,1,3,,10,,,,2,,1,,,,,,3,,19,1,,,,,,,1,,1,,,,,,1,,,1,1,,,11,,,1,,,,5,6,,6,,,,1,,,,3,1,,,,,
AA3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,11,13,4,3,3,1,9,,,,,,6,2,,,,4,1,,,,,,1,1,29,5,4,2,3,,1,,,,,,,,,2,,10,,,,,,8,1,,1,,,,,,,,1,,,,1,,2,4,1,,16,,,,,,,1,,,,1,7,2,,11,8,1,1,,,,1,12,,1,1,,1,1,,1,,,16,2,2,,1,,1,,2,,,,,,,1,,,7,6,2,5,,,,,,,7,1,,2,1,,8,4,,4,1,2,,1,1,,,,,,,,,,,,,
