DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,comments,Oribatids,Mesostig,Prostig,TOTAL,%Oribatids,%Mesostig,%Prostig
30-Oct-06,03-Nov-06,18B,23B,C,30,min,,45.55,81.99,75.39,29.84,,24,0,18,42,57.14,0,42.86
,,,,,,,,,,,,,,,,,,,
07-Nov-06,,8B,22,D,0,OM,0-3,45.81,54.6,49.71,3.9,,40,4,16,60,66.67,6.67,26.67
07-Nov-06,,8C,15,D,0,OM,3-6,46.02,57.96,51.69,5.67,,58,1,149,208,27.88,0.48,71.63
07-Nov-06,,8D,16,D,0,OM,6-9,42.43,62.68,56.38,13.95,,93,0,213,306,30.39,0,69.61
07-Nov-06,,7A,62C,D,0,min,,43.35,83.54,79.56,36.21,,14,1,52,67,20.9,1.49,77.61
07-Nov-06,,7B,30B,D,E,OM,0-3,40.99,50.32,44.96,3.97,,26,7,19,52,50,13.46,36.54
07-Nov-06,,7C,5B,D,E,OM,3-6,44.81,56.21,49.01,4.2,,48,7,115,170,28.24,4.12,67.65
07-Nov-06,,7D,32,D,E,OM,6-9,44.55,67.93,57.61,13.06,,91,6,176,273,33.33,2.2,64.47
07-Nov-06,,6B,56,D,E,min,,45.99,84.82,77.95,31.96,,13,7,33,53,24.53,13.21,62.26
07-Nov-06,,6D,21,D,10,mix,0-3,46,64.73,55.35,9.35,,49,8,736,793,6.18,1.01,92.81
07-Nov-06,,5A,67,D,10,mix,3-6,46.24,68.07,58.14,11.9,,65,11,358,434,14.98,2.53,82.49
07-Nov-06,,5B,26,D,10,mix,6-9,43.55,65.78,55.75,12.2,,35,0,230,265,13.21,0,86.79
07-Nov-06,,5C,61,D,10,mix,9-12,44.46,75.01,67.39,22.93,,10,0,20,30,33.33,0,66.67
07-Nov-06,,5D,25,D,10,min,,45.78,85.23,77.81,32.03,,11,2,89,102,10.78,1.96,87.25
07-Nov-06,,4A,137,D,20,mix,0-3,45.7,76.8,68.38,22.68,,34,1,105,140,24.29,0.71,75
07-Nov-06,,4B,8A,D,20,min,3-6,44.48,99.74,91.88,47.4,,14,7,64,85,16.47,8.24,75.29
07-Nov-06,,4C,75,D,30,mix,0-3,43.99,68.8,59.29,15.3,,85,8,33,126,67.46,6.35,26.19
07-Nov-06,,4D,13,D,30,min,3-6,43.52,84.38,93.94,50.42,,24,2,86,112,21.43,1.79,76.79
,,,,,,,,,,,,,,,,,,,
30-Oct-06,03-Nov-06,17C,2,E,0,OM,0-3,43.88,60.71,51.69,7.81,,145,13,12,170,85.29,7.65,7.06
30-Oct-06,03-Nov-06,17D,72,E,0,OM,3-6,46.52,69.3,58.75,12.23,,152,9,167,328,46.34,2.74,50.91
30-Oct-06,03-Nov-06,16A,5,E,0,mix,6-9,44.35,60.44,55.36,11.01,,23,0,20,43,53.49,0,46.51
30-Oct-06,03-Nov-06,17B,3A,E,0,min,,45.12,78.07,72.34,27.22,,54,0,20,74,72.97,0,27.03
30-Oct-06,03-Nov-06,10D,2B,E,10,OM,0-3,46.52,64.97,55.98,9.46,on min,105,16,70,191,54.97,8.38,36.65
30-Oct-06,03-Nov-06,16D,4,E,10,min,,46.29,107.94,97.36,51.07,,22,1,30,53,41.51,1.89,56.6
30-Oct-06,03-Nov-06,8A,62A,E,20,OM,0-3,45.21,53.33,47.84,2.63,,86,8,117,211,40.76,3.79,55.45
30-Oct-06,03-Nov-06,8B,22,E,20,OM,3-6,45.81,54.94,48.92,3.11,,59,5,112,176,33.52,2.84,63.64
30-Oct-06,03-Nov-06,8C,15,E,20,OM,6-9,46.02,64.55,57.85,11.83,,136,12,324,472,28.81,2.54,68.64
30-Oct-06,03-Nov-06,7B,30B,E,20,mix,9-12,40.99,63.05,53.21,12.22,out of order,86,7,248,341,25.22,2.05,72.73
30-Oct-06,03-Nov-06,7A,62C,E,20,min,,43.35,74.57,64.36,21.01,,47,0,41,88,53.41,0,46.59
30-Oct-06,03-Nov-06,9A,157,E,30,OM,0-3,43.78,60.97,49.23,5.45,,60,9,169,238,25.21,3.78,71.01
30-Oct-06,03-Nov-06,9B,62,E,30,OM,3-6,45.32,63.34,49.58,4.26,,153,8,71,232,65.95,3.45,30.6
30-Oct-06,03-Nov-06,9C,10C,E,30,OM,6-9,42.92,66.34,52.08,9.16,,129,6,162,297,43.43,2.02,54.55
30-Oct-06,03-Nov-06,9D,A1,E,30,OM,9-12,46.39,77.42,28.03,-18.36,,118,7,77,202,58.42,3.47,38.12
30-Oct-06,03-Nov-06,8D,16,E,30,min,,42.43,78.56,71.46,29.03,,24,1,33,58,41.38,1.72,56.9
,,,,,,,,,,,,,,,,,,,
30-Oct-06,03-Nov-06,12B,9B,F,0,OM,0-3,45.06,60.58,52.93,7.87,,76,9,38,123,61.79,7.32,30.89
30-Oct-06,03-Nov-06,12D,7,F,0,OM,3-6,45.04,56.79,51.28,6.24,,177,10,124,311,56.91,3.22,39.87
30-Oct-06,03-Nov-06,11A,10,F,0,min,,44.47,89.42,78.72,34.25,,41,2,69,112,36.61,1.79,61.61
30-Oct-06,03-Nov-06,13B,56A,F,10,OM,0-3,44.02,60.72,50.13,6.11,,85,14,76,175,48.57,8,43.43
30-Oct-06,03-Nov-06,13C,46,F,10,OM,3-6,45.22,65.48,52.56,7.34,,89,9,152,250,35.6,3.6,60.8
30-Oct-06,03-Nov-06,13D,53,F,10,OM,6-9,45.03,59.44,50.04,5.01,,35,15,46,96,36.46,15.63,47.92
30-Oct-06,03-Nov-06,13A,A3,F,10,min+,,46.06,62.21,55.42,9.36,,27,6,19,52,51.92,11.54,36.54
30-Oct-06,03-Nov-06,14A,68,F,20,OM,0-3,45.85,62.23,51.16,5.31,,33,12,156,201,16.42,5.97,77.61
30-Oct-06,03-Nov-06,14B,2B,F,20,OM,3-6,45.08,69.66,59.38,14.3,,75,5,178,258,29.07,1.94,68.99
30-Oct-06,03-Nov-06,14C,30,F,20,OM,6-9,78.44,92.41,84.28,5.84,,28,1,48,77,36.36,1.3,62.34
30-Oct-06,03-Nov-06,14D,56,F,20,min,,45.61,85.65,78.04,32.43,,16,4,11,31,51.61,12.9,35.48
30-Oct-06,03-Nov-06,15A,2,F,30,OM,0-3,42.9,63.96,50.97,8.07,,94,14,112,220,42.73,6.36,50.91
30-Oct-06,03-Nov-06,15B,64,F,30,OM,3-6,44.35,62.97,50.66,6.31,,30,7,263,300,10,2.33,87.67
30-Oct-06,03-Nov-06,15C,6,F,30,OM,6-9,45.98,63.62,53.79,7.81,,33,2,104,139,23.74,1.44,74.82
30-Oct-06,03-Nov-06,15D,37,F,30,OM,9-12,43.99,52.3,46.92,2.93,,14,1,108,123,11.38,0.81,87.8
30-Oct-06,03-Nov-06,16C,65,F,30,min+,,42.99,79.54,72.95,29.96,,12,13,60,85,14.12,15.29,70.59
,,,,,,,,,,,,,,,,,,,
03-Nov-06,,10A,24,G,0,OM,0-3,46.49,54.8,49.95,3.46,on mix,94,3,89,186,50.54,1.61,47.85
03-Nov-06,,10B,65,G,0,mix,3-6,44.31,56.94,49.11,4.8,,76,2,60,138,55.07,1.45,43.48
03-Nov-06,,10C,60,G,0,mix,6-9,44.86,60.39,50.83,5.97,,40,3,45,88,45.45,3.41,51.14
03-Nov-06,,10D,2B,G,0,mix,9-12,46.52,63.45,56.85,10.33,,96,3,33,132,72.73,2.27,25
03-Nov-06,,9A,157,G,0,mix,12-15,43.78,55.71,49.54,5.76,,62,2,41,105,59.05,1.9,39.05
03-Nov-06,,11B,5,G,0,min,,45.55,78.39,71.79,26.24,,44,1,13,58,75.86,1.72,22.41
03-Nov-06,,9B,62,G,10,mix,0-3,45.32,53.07,47.24,1.92,on mix,93,9,55,157,59.24,5.73,35.03
03-Nov-06,,9C,10C,G,10,mix,3-6,42.92,62.63,55.04,12.12,,76,10,222,308,24.68,3.25,72.08
03-Nov-06,,9D,A1,G,10,mix,6-9,46.39,67.05,61.98,15.59,,48,7,82,137,35.04,5.11,59.85
03-Nov-06,,8A,62A,G,10,mix,9-12,45.21,67.43,63.21,18,,37,1,37,75,49.33,1.33,49.33
03-Nov-06,,11C,70,G,10,min+,,45.91,85.31,75.53,29.62,,33,9,69,111,29.73,8.11,62.16
03-Nov-06,,12B,9B,G,20,OM,0-3,45.06,52.93,49.56,4.5,,42,4,86,132,31.82,3.03,65.15
03-Nov-06,,12D,7,G,20,mix,3-6,45.04,55.84,62.76,17.72,,33,18,15,66,50,27.27,22.73
03-Nov-06,,11A,10,G,20,min+,,44.47,71.24,63.15,18.68,,21,6,36,63,33.33,9.52,57.14
03-Nov-06,,15B,64,G,30,OM,0-3,44.35,54.5,48.94,4.59,,74,1,18,93,79.57,1.08,19.35
03-Nov-06,,15C,6,G,30,mix,3-6,45.98,67.82,60.92,14.94,,55,0,40,95,57.89,0,42.11
03-Nov-06,,15D,37,G,30,OM,6-9,43.99,60.12,50.84,6.85,buried,98,2,133,233,42.06,0.86,57.08
03-Nov-06,,14A,68,G,30,OM,9-12,45.85,56.55,51.27,5.42,,2,1,17,20,10,5,85
03-Nov-06,,14B,2B,G,30,min,,45.08,94.79,88.22,43.14,,88,2,59,149,59.06,1.34,39.6
