,F 0 OM 6-9,F 0 OM 9-12,F 0 OM 12-15,G E OM 0-3,G E OM 3-6,G E OM 6-9,TU3-1 OM 0-3,TU3-1 OM 3-6,TU3-1 OM 6-9,TU3-1 OM 9-12,TU3-2 OM 0-3,TU3-2 OM 3-6,TU3-2 OM 6-9,TU3-2 OM 9-12,TU3-2 OM 12-15,TU3-2 OM 15-18,TU3-3 Min,R 0 Min,TU3-1 Min,F 30 Min,TU3-4 Min,P 30 Min,J E Min
Meso 5-sclerotized w/ rostrum,1,1,,6,2,1,,,,,3,,,,,,,,,,,,
"Meso 6-little, white, stick legs ",,,,4,,2,1,,,,3,,,,,,,,,,,,
"Meso 7-lg, 2 dorsal shields",,,,,,,,,,,,,,,,,,,,,,,
Meso 8-holodorsal ,,,,4,,1,,,,,2,,,,,,,,,,,,
"Meso 9-2dorsal, w/tubercle ",,,,,,,,,,,,,,,,,,,,,,,
Meso 10-Zercon,,,,,,,,,,,,,,,,,,,,,,,
"Meso 11- lg, 2 dorsal shields",,,,,,2,,,,,1,,,,,,,,,,,,
Meso 12- 2dorsal incomplete,1,,,,,,,,,,2,,,,,,,,,,,,
Meso immatures,,,,,,,,,,,,,,,,,,,,,,,
Oribatids,75,38,18,236,176,66,108,34,9,27,135,56,20,25,2,6,2,10,23,2,29,42,6
Prostigs,21,19,21,36,37,21,17,39,18,7,16,18,11,13,8,4,4,1,1,2,4,7,1
Mesostigs,11,3,1,26,10,9,2,3,0,1,37,4,3,2,1,0,0,0,0,0,0,0,0
Total,107,60,40,298,223,96,127,76,27,35,188,78,34,40,11,10,6,11,24,4,33,49,7
% Oribatid,70.09,63.33,45,79.19,78.92,68.75,85.04,44.74,33.33,77.14,71.81,71.79,58.82,62.5,18.18,60,33.33,90.91,95.83,50,87.88,85.71,85.71
% Prostig,19.63,31.67,52.5,12.08,16.59,21.88,13.39,51.32,66.67,20,8.51,23.08,32.35,32.5,72.73,40,66.67,9.09,4.17,50,12.12,14.29,14.29
% Mesostig,10.28,5,2.5,8.72,4.48,9.38,1.57,3.95,0,2.86,19.68,5.13,8.82,5,9.09,0,0,0,0,0,0,0,0
