Sam,I O OM 0-3,I O OM 3-6,I O OM 6-9,I O OM 9-12,E I Min,I 30 OM 0-3,I 30 OM 3-6,I 30 OM 6-8,J 30 Min,I E OM 0-3,I E OM 3-6,N E Min 0-3,N O OM 0-3,N O OM 3-6,N O OM 6-9,N 30 OM 0-3,N 30 OM 3-6,N 30 Min,J 0 OM 0-3,J 0 OM 3-6,N E OM 3-6,N E OM 3-6,J 0 Min,S 0 Min,L E Min,M 0 OM 0-3,M 0 OM 3-6,M 0 Min,S E OM 0-3,S E OM 3-6,S E OM 6-9,S E OM 9-12,I 30 Min,N 0 Min,M E Min,M E OM 0-3,M E OM 3-6,S 0 OM 0-3,S O OM 3-6,S O OM 6-9,S 0 OM 9-12,S 0 OM 12-15,S 0 OM 15-18,B E OM 0-3,B E OM 3-6,B E OM 6-9,B E OM 9-12,B E OM 12-15,B E OM 15-18,B E OM 18-21,L E OM 0-3,L E OM 3-6,B 30 Min,L 30 OM 0-3,L 30 OM 3-6,L 30 OM 6-9,T E Min 3,S 30 OM 0-3,S 30 OM 3-6,S 30 OM 6-9,S 30 OM 9-12,S E Min 3,T 30 Min 3,M 30 OM 0-3,M 30 OM 3-6,M 30 OM 6-9,C E OM 0-3,C E OM 3-6,C E OM 6-9,D 0 Min,E 0 OM 0-3,E 0 OM 3-6,E 0 OM 6-9,E 0 OM 9-12,C 0 OM 0-3,C 0 OM 3-6,C 0 OM 6-9,E E OM 0-3,E E OM 3-6,E E OM 6-9,E E Min,E 30 Min,TU3 Plot3 Min,TU3 Plot3 OM 0-3,TU3 Plot3 OM 3-6,TU3 Plot3 OM 6-9,TU3 Plot3 OM 9-12,TU3 Plot3 OM 12-15,TU3 Plot3 OM 15-18,D E min,D 0 OM 0-3,D 0 OM 3-6,D 0 OM 6-9 ,D 0 OM 9-12,TU3 Plot2 Min,E 30 OM 0-3,E 30 OM 3-6,E 30 OM 6-9,E 30 OM 9-12,D 30 Min,D E OM 0-3,D E OM 3-6,D E OM 6-9,TU3-4 OM 0-3,TU3-4 OM 3-6,TU3-4 OM 6-9,TU3-4 OM 9-12,C E Min,C 30 OM 0-3,C 30 OM 3-6,C 30 OM 6-9,C 30 OM 9-12,C 30 OM 12-15,C 30 Min,E 0 Min,D 30 OM 0-3,D 30 OM 3-6,D 30 OM 6-9,D 30 OM 9-12,C 0 Min,T 30 OM 0-3,T 30 OM 3-6,T 30 OM 6-9,T 0 OM 0-3,T 0 OM 3-6,T 0 OM 6-9,T 0 Min,J E OM 0-3,J E OM 3-6,J E OM 6-9,L 0 OM 0-3,L 0 OM 3-6,T E OM 0-3,T E OM 3-6,T E OM 6-9,S 30 Min,L 30 Min,R 0 OM 0-3,R 0 OM 3-6,R 0 OM 6-9,R 0 OM 9-12,R E OM 0-3,R E OM 3-6,R E OM 6-9,R E OM 9-12,P 0 OM 0-3,P 0 OM 3-6,P 0 OM 6-9,P E Min,P E OM 0-3,P E OM 3-6,P E OM 6-9,P E OM 9-12,R 30 OM 0-3,R 30 OM 3-6,R 30 OM 6-9,R 30 OM 9-12,R 30 OM 12-15,R 30 OM 15-18,A E OM 0-3,A E OM 3-6,A E OM 6-9,A E OM 9-12,P 30 OM 0-3,P 30 OM 3-6,P 30 OM 6-9,P 30 OM 9-12,P 30 OM 12-15,P 30 OM 15-18,B 30 OM 0-3,B 30 OM 3-6,B 30 OM 6-9,B 30 OM 9-12,G 0 OM 0-3,G 0 OM 3-6,G 0 OM 6-9,G 0 OM 9-12,G E Min,I 0 Min,G 30 Min,B E Min,M 30 Min,B 0 Min,F E OM 0-3,F E OM 3-6,F E OM 6-9,F E OM 9-12,F E OM 12-15,B 0 OM 0-3,B 0 OM 3-6,B 0 OM 6-9,B 0 OM 9-12,B 0 OM 12-15,B 0 OM 15-18,B 0 OM 18-21,A 0 OM 0-3,A 0 OM 3-6,A 0 OM 6-9,A 0 OM 9-12,F 30 OM 0-3,F 30 OM 3-6,F 30 OM 6-9,F 30 OM 9-12,R E Min,L 0 Min,A 30 Min,R 30 Min,F 0 Min,TU2-1 OM 0-3,TU2-1 OM 3-6,TU2-1 OM 6-9,TU2-1 OM 9-12,TU2-1 OM 12-15,TU2-2 Min,TU2-1 Min,TU2-2 OM 0-3,TU2-2 OM 3-6,TU2-2 OM 6-9,TU2-2 OM 9-12,TU2-2 OM 12-15,TU2-2 OM 15-18,A E Min,G 30 OM 0-3,G 30 OM 3-6,G 30 OM 6-9,G 30 OM 9-12,A 0 Min,TU2-3 OM 0-3,TU2-3 OM 3-6,TU2-3 OM 6-9,TU2-3 OM 9-12,A 30 OM 0-3,A 30 OM 3-6,A 30 OM 6-9,A 30 OM 9-12,A 30 OM 12-15,A 30 OM 15-18,TU2-4 Min,TU2-4 OM 0-3,TU2-4 OM 3-6,TU2-4 OM 6-9,TU2-4 OM 9-12,TU2-4 OM 12-15,TU2-3 Min,P 0 Min,G 0 Min,F E Min,J 30 OM 0-3,J 30 OM 3-6,J 30 OM 6-9,F 0 OM 0-3,F 0 OM 3-6,F 0 OM 6-9,F 0 OM 9-12,F 0 OM 12-15
Heminothrus sp.,,,,,,1,,3,,,,,4,,,,,,6,,1,,,,,,,,3,1,,,1,,,,,4,,1,,,,7,,,,,4,2,11,8,,,,,,6,1,,,,,,,,4,,,,1,,,,2,,,4,1,,,,,37,5,3,1,1,1,,,,,,,7,,,,,,,,,3,,,,5,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,9,,,,3,13,4,1,23,,2,,9,6,,,7,,,,,,,2,,,,,3,,,,38,1,,1,2,,,,,,,,,,,,,,,8,,,1,,,,1,3,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,28,1,,,,,,36,1,,,,,,,,3,,,,,,,
Hermannia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermanniella sp. 1 ,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermanniella sp. 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liacarus sp. 1,,,,,,,,,1,1,,,,,,3,1,1,,,,,,,,3,,,,,,,,,,1,,2,,,,,,1,,,,,,,,1,,2,,,,,,,1,,,2,1,1,1,,,,,,,1,,,,,2,,,,,1,,,,,,,1,,,,,4,,1,4,,2,,,,1,,,,1,,,,,,,,,,,,3,,,,,,,1,1,,1,,,,,,,3,,,,,,4,,,,,1,,,,,4,,,,,,2,3,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,1,,,,,1,,,2,,,,,,,
Liacarus sp. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maerkelotrita sp.,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malacanothrus sp.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanhermannia sp. 1,16,4,1,1,,,8,2,,41,37,,11,1,,9,1,,1,3,4,,,,,,,,18,15,1,1,1,,,1,,,1,,,1,,7,,,,,1,1,15,7,,1,2,2,,22,1,1,4,1,,16,3,2,1,14,,,3,,,1,2,4,8,2,,,,,,,1,1,1,2,,,,,,,3,13,2,2,2,,,,,1,,,1,,26,,,6,3,,,,,,,,45,4,6,3,1,,1,2,,,2,,3,,,,,1,,,,1,4,4,,8,2,,2,4,4,2,4,8,,1,1,,4,1,3,,2,4,,2,1,1,2,31,3,,2,7,1,,,,,,,,,,,,,,3,,1,,1,,2,6,2,,,,,,,,,,,,20,2,,5,4,,,3,3,,,,1,,2,,,,,,,,,1,,,,,,,1,1,1,,2,,,,,2,1,1,9,2,2,1,
Nanhermannia sp. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,3,,,,,,,,,,,,,,,,,,,,,,
Nothrus sp. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Nothrus sp. 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,
Oppiella nova,66,31,34,15,,27,31,14,4,15,14,3,7,21,8,23,5,2,7,4,8,10,1,2,1,8,3,2,11,2,20,2,9,,3,14,15,,2,5,2,1,1,14,38,24,5,6,6,4,18,14,3,8,19,8,,1,9,2,6,,,4,9,10,31,12,4,,10,10,16,5,18,4,3,25,9,3,1,2,,2,6,1,1,,1,,2,6,6,2,,31,11,11,29,2,7,,3,27,14,8,6,1,20,10,10,7,2,,1,7,9,6,4,,5,12,5,4,7,2,1,6,2,2,4,3,7,1,,,12,2,8,14,1,11,16,12,32,4,5,,3,,14,22,3,15,7,20,12,5,3,1,5,1,2,12,17,4,9,12,12,12,14,6,,20,33,38,6,2,2,,,7,3,6,14,30,4,1,15,22,9,6,2,1,7,15,17,22,13,3,2,4,3,2,,3,2,4,30,28,42,5,2,,,10,7,4,10,9,7,1,3,7,1,3,1,5,1,1,2,38,53,23,3,8,17,,6,18,9,10,5,1,1,5,3,36,25,14,3,11,2,6,2
Oribotritia sp.,1,,,,,1,1,1,5,,4,1,,,1,4,2,2,1,,,,,3,,,,,,1,,,1,1,4,,,,1,,1,1,,,3,,1,,2,,,,,,,,3,1,,1,,,1,,,,,,,,,,2,,,,,1,,,,,,,,1,1,,,1,,,,2,,2,,1,,,,,,,1,,,,,,,,,,1,,,,,,,3,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,2,1,6,2,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,1,,1,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,1,1,1,1,,1,,,,,2,,,,,,,,,,,,,,,,,,,,
Paleacarus sp.,,,,,,,,1,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,
Parhypochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,
Peltenuiala sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phthiracarus sp.,25,1,,1,,2,,,1,26,2,,25,,,61,,1,23,2,17,1,,1,,24,1,,20,10,1,,,,,8,6,23,2,1,,2,,15,1,,,,4,1,25,13,,7,7,5,1,39,3,1,,,,23,,,10,1,,1,18,,,1,2,,,12,2,,,,,18,1,,,,,,2,,1,,,14,,,,,9,1,,,26,2,2,,46,1,1,,1,1,1,4,3,,,2,19,2,2,8,1,1,,55,4,2,10,1,25,1,,1,,43,8,,,,34,10,,31,8,,,30,7,2,1,10,,,,1,,1,11,,1,,,7,1,,,31,,,1,41,,,,,1,,,,,22,5,,,1,8,,,,,,,22,17,1,,22,7,,,,1,,,,56,2,,,2,1,1,35,12,,,,,,51,4,,,2,16,1,3,2,4,,,,,,,29,,,,,,,,,5,,,20,3,2,,1
Pterochthonius sp.,,,,,,,,,,,,,7,,,2,,,13,1,16,2,,1,,2,,,,1,,,,,,9,,,,,,,,4,,,,,1,,,,,,3,,,9,,,,,,19,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,20,3,2,,,4,3,,,2,17,3,,,,,,,1,,,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,5,1,1,1,,,,,,,,,,2,,,,,1,,2,2,1,1,,,,5,,,,,3,2,,3,1,,,,,,,1,,,,,,,,,,,,1,,,,
Quadroppia sp.,1,,,,,2,1,,1,16,17,,9,,,12,3,,25,,41,21,,2,,17,5,,35,2,1,,,1,,39,9,10,,,,,,22,3,1,,1,,,12,1,,11,22,4,,14,2,1,2,,,4,1,,9,,,,17,,,,,1,2,10,1,,,,,5,5,1,,,,,,,,,,9,7,3,1,,1,,,3,1,,,,2,,,1,,,,8,5,,2,,2,3,,2,21,3,,15,11,,15,3,10,2,1,,,4,2,,,,6,2,,8,5,5,,9,5,,3,4,3,2,2,1,,,5,3,,,1,3,1,,,7,3,,,6,1,,,,,,,,,9,1,1,,,31,10,2,1,1,,4,1,6,,2,1,,,,,,,,,20,11,,1,,,,8,7,,19,,1,,10,3,,1,,12,2,2,7,3,10,,,,,,5,5,,1,2,,,,,4,2,,5,10,3,,
Quatrobelba sp.,,4,0,,,0,,,0,,2,,1,,,0,,1,1,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,1,,,,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Ramusella sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,
Rhinosuctobelba sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhysotritia sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,,,,1,,,,,,,,,1,,,,,1,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheloribates sp.,,1,,,3,1,1,1,0,16,11,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphodrocepheus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suctobelbella sp. 1,4,5,5,4,2,15,12,11,1,12,16,1,9,8,1,15,4,1,14,4,6,13,1,,,8,7,,13,6,17,7,4,,,6,3,3,14,14,3,1,,,3,1,,1,,,22,4,1,11,10,14,,15,7,2,10,2,1,11,,2,7,5,,,11,,3,,1,6,1,9,,,,,,2,4,,1,,,,2,4,1,4,1,6,3,1,,,1,1,,,,,,,3,,,,,,,1,1,,1,,,,,1,6,,,6,,,17,2,1,,,,1,9,,,,2,1,1,1,2,,,,,4,,,7,10,13,4,4,4,,5,,,,,,,,,10,6,1,1,1,2,,,,,,,,,1,,,,,,,,,,,,,15,,,1,1,,,,,,,,,2,5,,,,,1,3,,,,1,,7,3,,,,1,,2,9,4,1,,,,,,,3,,,,,1,1,,5,2,2,5,1,2,,
Suctobelbella sp. 2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,2,,,,6,1,,,,,,,,4,,1,,2,1,,,,,,,,,2,,,3,1,3,,,1,,4,,1,,,,,2,,,,,,,,,,,,1,1,,,,1,1,4,1,,,,1,2,2,,2,,,3,2,,,,,,,,6,1,,8,4,1,6,5,3,,,,1,3,3,2,,6,,,,3,,,,,,1,,3,,,,,,,,,,,4,4,,2,2,2,6,2,,,2,3,,,,,,,,,4,5,1,,6,4,1,,,,,6,20,1,5,,5,,,2,3,1,1,,1,4,5,,,,,2,1,1,3,,,,4,2,,2,,4,,,2,,4,,1,,,,,5,,1,1,,,,,,,,,6,2,1,
Suctobelbella sp. 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,1,,,1,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,,1,,,,,3,,,,1,1,,,1,,2,,,,,1,,1,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,,1,1,,,,,,2,,,,3,4,,,,,,,,,,,,,
Suctobelbella sp. 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,1,,1,1,,,,,,1,1,,,2,2,4,,,,,,,,,,,,,,,,,4,5,1,,,,,,,,,,,,,,3,4,8,9,1,1,,2,5,1,3,1,1,1,,4,1,,,,,,,,,3,3,1,6,17,3,,2,,13,2,,4,4,7,1,,,,,,,1,1,1,2,,1,2,,,,,,3,,,,,,,,,,1,,3,4,4,1,,,1,,1,2,2,7,4,,,,3,,,1,2,1,,4,3,12,3,,1,,1,,5,,1,,1,,,1,,,,,,,,
Tectocepheus velatus,4,,,,,16,,2,,15,2,3,12,3,2,11,,1,14,1,3,1,,,,12,,1,9,7,,1,,,,9,2,11,3,1,,,,,1,,,,,,13,7,1,6,4,4,,5,,,,,,15,,,20,2,,,5,,,,15,,,6,,,,,,12,1,,,,,,10,4,3,1,,17,,1,,,8,1,,1,10,,,1,12,1,1,,,,,1,,,,,11,,,9,4,,,2,,,9,,8,,1,1,,20,,,,4,7,3,,29,5,,,8,,2,,14,,,,2,,2,13,,2,3,,3,,1,,5,2,,,5,,,,,,,,,,8,1,,,,4,,,,,,,9,2,,,3,,,1,1,,,,,14,,,,,,,3,2,2,,,,1,14,2,,,,7,2,,2,6,1,,,,,,16,2,,,1,,,,,6,,,5,,,,1
Trichoribates sp.,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidentified Immatures,40,2,7,6,16,61,10,10,0,98,70,4,53,4,1,68,4,0,47,14,64,14,3,3,4,27,3,3,54,40,7,10,8,1,2,17,5,32,10,4,8,0,0,63,9,6,2,10,8,4,74,16,2,14,16,6,0,173,27,15,25,4,3,50,0,3,52,37,10,2,56,1,4,3,22,21,30,25,4,5,1,1,1,38,18,9,3,6,3,3,20,17,9,1,3,98,11,9,3,0,36,5,6,13,24,3,6,5,75,1,7,28,14,6,2,5,5,1,0,1,99,10,5,18,12,9,0,36,20,13,12,4,62,5,4,0,3,41,3,5,15,9,38,15,5,138,12,2,5,48,27,6,4,38,15,18,3,2,9,4,24,3,6,6,8,16,7,4,2,168,30,5,8,36,13,6,0,0,3,1,7,10,0,24,5,5,1,0,30,4,1,1,0,0,1,18,14,3,3,11,2,0,0,2,2,2,0,7,115,21,9,4,1,0,1,4,4,1,0,0,0,0,48,8,0,4,0,19,3,0,13,60,21,4,3,7,2,6,43,24,2,2,1,0,0,1,0,35,7,18,11,32,1,2,2
"Pro 1-small, elongate, white",58,11,5,2,1,7,15,12,12,27,15,7,11,7,2,13,6,6,8,3,3,7,1,3,2,13,5,2,7,1,2,2,6,2,,10,8,9,,2,2,,2,3,4,,,2,,,6,1,2,5,5,2,7,1,3,,1,,,7,6,,8,15,5,,48,1,,,2,5,9,14,,1,,,1,1,2,,1,,,,13,5,1,1,1,5,3,,,1,,,,1,1,,2,4,4,1,2,,,,,,,,,6,3,1,,,2,,1,,,,,1,,,,2,2,1,4,3,,11,12,3,,2,,,,1,5,,,1,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,1,1,8,9,4,1,1,14,,,,,,,15,3,3,,4,,,,,,1,1,,2,,,2,,1,,,1,1,,,2,2,3,1,1,2,1,3,2,1,,4,,,1,,,,2,2,5,3,,2,6,1,,3,,,,3,,,5
