Sam,I O OM 0-3,I O OM 3-6,I O OM 6-9,I O OM 9-12,E I Min,I 30 OM 0-3,I 30 OM 3-6,I 30 OM 6-8,J 30 Min,I E OM 0-3,I E OM 3-6,N E Min 0-3,N O OM 0-3,N O OM 3-6,N O OM 6-9,N 30 OM 0-3,N 30 OM 3-6,N 30 Min,J 0 OM 0-3,J 0 OM 3-6,N E OM 3-6,N E OM 3-6,J 0 Min,S 0 Min,L E Min,M 0 OM 0-3,M 0 OM 3-6,M 0 Min,S E OM 0-3,S E OM 3-6,S E OM 6-9,S E OM 9-12,I 30 Min,N 0 Min,M E Min,M E OM 0-3,M E OM 3-6,S 0 OM 0-3,S O OM 3-6,S O OM 6-9,S 0 OM 9-12,S 0 OM 12-15,S 0 OM 15-18,B E OM 0-3,B E OM 3-6,B E OM 6-9,B E OM 9-12,B E OM 12-15,B E OM 15-18,B E OM 18-21,L E OM 0-3,L E OM 3-6,B 30 Min,L 30 OM 0-3,L 30 OM 3-6,L 30 OM 6-9,T E Min 3,S 30 OM 0-3,S 30 OM 3-6,S 30 OM 6-9,S 30 OM 9-12,S E Min 3,T 30 Min 3,M 30 OM 0-3,M 30 OM 3-6,M 30 OM 6-9,C E OM 0-3,C E OM 3-6,C E OM 6-9,D 0 Min,E 0 OM 0-3,E 0 OM 3-6,E 0 OM 6-9,E 0 OM 9-12,C 0 OM 0-3,C 0 OM 3-6,C 0 OM 6-9,E E OM 0-3,E E OM 3-6,E E OM 6-9,E E Min,E 30 Min,TU3 Plot3 Min,TU3 Plot3 OM 0-3,TU3 Plot3 OM 3-6,TU3 Plot3 OM 6-9,TU3 Plot3 OM 9-12,TU3 Plot3 OM 12-15,TU3 Plot3 OM 15-18,D E min,D 0 OM 0-3,D 0 OM 3-6,D 0 OM 6-9 ,D 0 OM 9-12,TU3 Plot2 Min,E 30 OM 0-3,E 30 OM 3-6,E 30 OM 6-9,E 30 OM 9-12,D 30 Min,D E OM 0-3,D E OM 3-6,D E OM 6-9,TU3-4 OM 0-3,TU3-4 OM 3-6,TU3-4 OM 6-9,TU3-4 OM 9-12,C E Min,C 30 OM 0-3,C 30 OM 3-6,C 30 OM 6-9,C 30 OM 9-12,C 30 OM 12-15,C 30 Min,E 0 Min,D 30 OM 0-3,D 30 OM 3-6,D 30 OM 6-9,D 30 OM 9-12,C 0 Min,T 30 OM 0-3,T 30 OM 3-6,T 30 OM 6-9,T 0 OM 0-3,T 0 OM 3-6,T 0 OM 6-9,T 0 Min,J E OM 0-3,J E OM 3-6,J E OM 6-9,L 0 OM 0-3,L 0 OM 3-6,T E OM 0-3,T E OM 3-6,T E OM 6-9,S 30 Min,L 30 Min,R 0 OM 0-3,R 0 OM 3-6,R 0 OM 6-9,R 0 OM 9-12,R E OM 0-3,R E OM 3-6,R E OM 6-9,R E OM 9-12,P 0 OM 0-3,P 0 OM 3-6,P 0 OM 6-9,P E Min,P E OM 0-3,P E OM 3-6,P E OM 6-9,P E OM 9-12,R 30 OM 0-3,R 30 OM 3-6,R 30 OM 6-9,R 30 OM 9-12,R 30 OM 12-15,R 30 OM 15-18,A E OM 0-3,A E OM 3-6,A E OM 6-9,A E OM 9-12,P 30 OM 0-3,P 30 OM 3-6,P 30 OM 6-9,P 30 OM 9-12,P 30 OM 12-15,P 30 OM 15-18,B 30 OM 0-3,B 30 OM 3-6,B 30 OM 6-9,B 30 OM 9-12,G 0 OM 0-3,G 0 OM 3-6,G 0 OM 6-9,G 0 OM 9-12,G E Min,I 0 Min,G 30 Min,B E Min,M 30 Min,B 0 Min,F E OM 0-3,F E OM 3-6,F E OM 6-9,F E OM 9-12,F E OM 12-15,B 0 OM 0-3,B 0 OM 3-6,B 0 OM 6-9,B 0 OM 9-12,B 0 OM 12-15,B 0 OM 15-18,B 0 OM 18-21,A 0 OM 0-3,A 0 OM 3-6,A 0 OM 6-9,A 0 OM 9-12,F 30 OM 0-3,F 30 OM 3-6,F 30 OM 6-9,F 30 OM 9-12,R E Min,L 0 Min,A 30 Min,R 30 Min,F 0 Min,TU2-1 OM 0-3,TU2-1 OM 3-6,TU2-1 OM 6-9,TU2-1 OM 9-12,TU2-1 OM 12-15,TU2-2 Min,TU2-1 Min,TU2-2 OM 0-3,TU2-2 OM 3-6,TU2-2 OM 6-9,TU2-2 OM 9-12,TU2-2 OM 12-15,TU2-2 OM 15-18,A E Min,G 30 OM 0-3,G 30 OM 3-6,G 30 OM 6-9,G 30 OM 9-12,A 0 Min,TU2-3 OM 0-3,TU2-3 OM 3-6,TU2-3 OM 6-9,TU2-3 OM 9-12,A 30 OM 0-3,A 30 OM 3-6,A 30 OM 6-9,A 30 OM 9-12,A 30 OM 12-15,A 30 OM 15-18,TU2-4 Min,TU2-4 OM 0-3,TU2-4 OM 3-6,TU2-4 OM 6-9,TU2-4 OM 9-12,TU2-4 OM 12-15,TU2-3 Min,P 0 Min,G 0 Min,F E Min,J 30 OM 0-3,J 30 OM 3-6,J 30 OM 6-9,F 0 OM 0-3,F 0 OM 3-6,F 0 OM 6-9,F 0 OM 9-12,F 0 OM 12-15
Dentachipteria sp.,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,9,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,6,1,,,,,,
Discoppia sp.,,,,,4,0,0,,3,2,1,,,,,1,,,,,,,,,16,1,,,,,,,6,,,,,,,,,,,,,,,,,,,1,,4,,3,,,,,1,,,,,3,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eniochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilohmannia sp.,1,25,9,8,1,44,37,21,0,,3,1,3,1,,38,11,2,34,14,,,,15,,1,1,,28,6,16,1,4,,,29,9,52,19,8,3,2,1,28,11,2,2,4,3,1,,,,1,,,,,,1,,1,,17,2,6,,2,1,1,16,11,9,,,1,,9,,2,,,,13,13,10,6,14,3,1,20,25,4,4,3,1,2,,,,,,,,,,,,5,8,8,3,12,2,,6,14,4,1,3,3,1,,5,4,,2,61,13,16,,1,,,,,,,,1,,3,8,,,,6,,5,2,16,12,4,10,8,9,19,2,4,,2,,,1,8,12,,1,,17,6,1,,25,19,6,,,1,4,1,,1,28,16,2,,,29,11,10,4,4,5,,2,6,1,1,25,11,,,1,,2,,1,24,8,2,,,,,,,,,,,,27,19,,3,1,,,,1,,1,,,,,,5,15,,1,,,,5,,13,25,4,2,30,7,5,4
Eremeaus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eueremaeus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupelops sp.,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,3,,1,,,,,
Eupterotegeaus sp. 1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eupterotegeaus sp. 2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,
Gehypochthonius sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,10,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,2,,,,,1,,,,,,,,,,,,,,,2,,,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,2,,,
