DateIn,DateOut,Postition,Container,Plot,Distance,Type,DepthCM,WTholder,Wet+holder,Dry+holder,DryWT,,
31-Oct-05,04-Nov-05,3D,58,F,15,OM,6-9,44.89,93.23,75.72,30.83,,
31-Oct-05,04-Nov-05,2A,46,F,15,Min,,46.57,86.94,96.56,49.99,,
31-Oct-05,04-Nov-05,2B,42,F,20,OM,0-3,45.9,70.53,54.95,9.05,2,wood
31-Oct-05,04-Nov-05,2C,1,F,20,OM,3-6,44.36,66.34,50.95,6.59,,wood
31-Oct-05,04-Nov-05,2D,21,F,20,OM,6-9,43.39,63.45,50.06,6.67,,wood
31-Oct-05,04-Nov-05,1A,16,F,20,Min,,45.12,88.54,69.7,24.58,,
31-Oct-05,04-Nov-05,1B,3,F,30,OM,0-3,44.52,64.57,51.75,7.23,1,
31-Oct-05,04-Nov-05,1C,43,F,30,OM,3-6,45.15,74.95,53.84,8.69,,
04/11/2005,09-Nov-05,18A,23B,F,30,Min,,45.27,91.66,72.65,27.38,,
04-Nov-05,09-Nov-05,18B,103,TU2,1 (210),OM,0-3,42.49,65.43,48.75,6.26,2,
04-Nov-05,09-Nov-05,18C,not used,,,,,,not used,,0,,
04-Nov-05,09-Nov-05,18D,4,,,,,46.47,not used,,,,
04-Nov-05,09-Nov-05,17A,2,TU2,1 (210),OM,0-3,46.56,71,55.66,9.1,,
04-Nov-05,09-Nov-05,17B,1,TU2,1 (210),OM,3-6,46.12,65.5,52.34,6.22,,
04-Nov-05,09-Nov-05,17C,4A,TU2,1 (210),OM,6-9,44.07,71.25,54.39,10.32,,
04-Nov-05,09-Nov-05,17D,65,TU2,1 (210),Min,,46.36,102.86,88.96,42.6,,
04-Nov-05,09-Nov-05,16A,34,TU2,2 (211),OM,0-3,45.86,60.27,50.78,4.92,2,
04-Nov-05,09-Nov-05,16B,64,TU2,2 (211),OM,3-6,43.02,63.79,49.37,6.35,,
04-Nov-05,09-Nov-05,16C,56,TU2,2 (211),OM,6-9,45.66,75.32,57.76,12.1,,
04-Nov-05,09-Nov-05,16D,66,TU2,2 (211),Min,9-12,45.62,96.17,81.28,35.66,,
